order_id,product_name,order_date,order_type,payment_method,rating,price,region,preparation_time_minutes,quantity,line_total,employee_id
ORD00319,Wrap,2026-05-20 19:13,Takeaway,Cash,5,30.35,West,39,5,151.75,EMP003
ORD00116,Coffee,2026-05-19 09:03,Dine-In,E-Wallet,2,32.06,Central,5,1,32.06,EMP028
ORD00221,Tea,2026-02-07 08:44,Takeaway,Cash,2,15.72,East,8,5,78.6,EMP010
ORD00272,,2026-01-18 18:27,Dine-In,Card,1,29.11,South,37,1,29.11,EMP020
ORD00127,Sandwich,2026-03-25 10:49,Online,Cash,5,25.65,West,44,4,102.6,EMP001
ORD00041,Salad,2026-01-25 22:57,Takeaway,E-Wallet,1,24.92,Central,36,3,74.76,EMP003
ORD00206,Wrap,2026-04-28 16:41,Dine-In,Card,1,26.26,East,43,1,26.26,EMP006
ORD00179,Sandwich,2026-03-09 22:21,Dine-In,Cash,1,24.66,South,28,2,49.32,EMP005
ORD00079,Smoothie,2026-02-14 15:40,Takeaway,E-Wallet,1,30.56,East,13,1,30.56,EMP009
ORD00297,Burger,2026-01-08 14:02,Online,Cash,5,11.16,South,26,2,22.32,EMP030
ORD00265,Coffee,2026-03-28 09:19,Dine-In,Cash,5,11.41,South,10,5,57.05,EMP017
ORD00324,Wrap,2026-01-16 12:53,Online,Cash,3,16.03,Central,39,5,80.15,EMP005
ORD00177,Coffee,2026-01-22 14:14,Dine-In,Card,3,13.34,North,28,2,26.68,EMP011
ORD00045,Tea,2026-03-01 20:05,Dine-In,E-Wallet,3,24.81,East,32,5,124.05,EMP014
ORD00146,Smoothie,2026-03-12 21:16,Takeaway,E-Wallet,3,33.89,South,32,4,135.56,EMP009
ORD00033,Pasta,2026-04-27 10:09,Online,Cash,3,8.26,West,30,4,33.04,EMP022
ORD00015,Noodles,2026-05-18 13:59,Online,Cash,2,14.91,West,45,4,59.64,EMP014
ORD00331,Tea,2026-03-20 08:06,Dine-In,E-Wallet,4,25.07,South,23,1,25.07,EMP024
ORD00173,Pizza,2026-01-13 14:01,Online,E-Wallet,1,18.74,North,5,4,74.96,EMP007
ORD00146,Rice Bowl,2026-02-17 09:11,Takeaway,E-Wallet,4,23.9,South,10,5,119.5,EMP013
ORD00200,Sandwich,2026-01-07 16:12,Takeaway,Card,4,25.53,Central,44,4,102.12,EMP009
ORD00233,Sandwich,2026-05-29 20:46,Dine-In,E-Wallet,3,27.3,South,45,4,109.2,EMP025
ORD00012,Fries,2026-05-24 08:46,Takeaway,Card,5,22.93,South,43,4,91.72,EMP018
ORD00346,Sandwich,2026-06-30 09:21,Dine-In,E-Wallet,3,31.49,South,10,4,125.96,EMP018
ORD00273,Pasta,2026-01-27 15:23,Takeaway,E-Wallet,2,10.02,Central,13,4,40.08,EMP010
ORD00243,Salad,2026-01-11 19:21,Dine-In,Cash,1,14.14,South,19,3,42.42,EMP030
ORD00347,Tea,2026-03-26 20:29,Dine-In,Card,1,27.61,North,13,3,82.83,EMP025
ORD00258,Cake,2026-02-15 10:20,Takeaway,Card,5,31.53,South,28,4,126.12,EMP011
ORD00274,Latte,2026-04-28 09:56,Online,E-Wallet,3,34.29,West,34,2,68.58,EMP010
ORD00024,Wrap,2026-06-10 11:49,Takeaway,Card,,38.8,East,22,1,38.8,EMP003
ORD00224,Latte,2026-05-30 17:51,Online,E-Wallet,2,20.51,West,12,5,102.55,EMP023
ORD00122,Tea,2026-06-13 17:02,Takeaway,E-Wallet,5,19.95,South,40,5,99.75,EMP006
ORD00186,Burger,2026-05-28 18:07,Takeaway,Cash,3,7.19,North,36,1,7.19,EMP015
ORD00325,,2026-03-20 17:11,Dine-In,Cash,2,8.67,West,39,5,43.35,EMP023
ORD00239,Noodles,2026-06-04 19:01,Dine-In,E-Wallet,2,37.67,Central,8,4,150.68,EMP003
ORD00142,Rice Bowl,2026-03-23 14:50,Dine-In,Card,3,21.98,North,36,1,21.98,EMP017
ORD00052,Tea,2026-04-21 15:54,Takeaway,E-Wallet,5,3.23,South,5,3,9.69,EMP021
ORD00122,Fries,2026-02-17 12:32,Takeaway,Cash,3,29.0,South,17,4,116.0,EMP024
ORD00029,Smoothie,2026-04-13 20:00,Online,Cash,3,2.75,North,43,3,8.25,EMP015
ORD00071,Wrap,2026-05-20 13:10,Online,Cash,3,16.79,West,26,1,16.79,EMP014
ORD00005,Wrap,2026-05-24 19:52,Takeaway,E-Wallet,4,25.97,Central,17,1,25.97,EMP022
ORD00320,Salad,2026-02-08 20:14,Takeaway,Cash,1,18.19,East,16,4,72.76,EMP014
ORD00223,Sandwich,2026-02-07 10:32,Online,Cash,2,6.77,Central,40,3,20.31,EMP010
ORD00169,Sandwich,2026-04-28 18:14,Dine-In,E-Wallet,4,25.38,North,45,4,101.52,EMP028
ORD00152,Latte,2026-04-16 08:06,Takeaway,Cash,1,18.06,North,13,4,72.24,EMP027
ORD00030,Coffee,2026-03-04 12:22,Takeaway,Cash,1,16.3,East,44,5,81.5,EMP012
ORD00171,Cake,2026-03-26 09:50,Online,Card,3,7.43,Central,45,5,37.15,EMP007
ORD00063,Noodles,2026-05-25 20:39,Dine-In,Card,1,11.34,East,8,2,22.68,EMP020
ORD00016,Pizza,2026-03-31 10:11,Online,E-Wallet,5,29.3,West,10,5,146.5,EMP018
ORD00314,Salad,2026-01-30 08:53,Online,E-Wallet,3,24.23,Central,4,1,24.23,EMP006
ORD00165,Smoothie,2026-01-13 12:55,Dine-In,Cash,3,30.63,North,44,1,30.63,EMP001
ORD00140,Pizza,2026-04-02 13:00,Dine-In,Cash,4,11.93,East,28,4,47.72,EMP023
ORD00055,Wrap,2026-03-03 13:24,Dine-In,Card,5,17.9,Central,13,3,53.7,EMP001
ORD00216,Salad,2026-03-11 21:28,Takeaway,Cash,5,24.69,South,22,2,49.38,EMP002
ORD00135,Burger,2026-04-24 09:43,Online,Card,1,23.9,East,35,2,47.8,EMP008
ORD00134,Burger,2026-02-17 11:54,Online,Card,2,31.95,Central,19,3,95.85,EMP014
ORD00123,Tea,2026-06-27 09:38,Takeaway,Card,3,15.78,South,18,1,15.78,EMP029
ORD00236,Fries,2026-06-14 16:35,Online,Card,4,19.72,North,37,3,59.16,EMP004
ORD00213,Wrap,2026-03-04 19:29,Online,Cash,4,29.8,North,33,5,149.0,EMP030
ORD00266,Sandwich,2026-03-09 09:09,Online,E-Wallet,4,24.3,Central,20,1,24.3,EMP016
ORD00303,Smoothie,2026-02-04 10:57,Dine-In,E-Wallet,1,39.12,North,44,3,117.36,EMP022
ORD00005,Fries,2026-03-02 18:06,Online,Cash,4,30.45,South,35,3,91.35,EMP013
ORD00041,Rice Bowl,2026-04-03 13:07,Dine-In,Cash,3,38.02,West,38,4,152.08,EMP013
ORD00215,Sandwich,2026-04-16 21:21,Online,Card,2,28.57,East,23,2,57.14,EMP004
ORD00146,Coffee,2026-01-20 12:13,Online,Card,4,15.96,North,17,2,31.92,EMP021
ORD00046,Wrap,2026-03-01 13:58,Online,E-Wallet,3,24.54,Central,20,4,98.16,EMP006
ORD00286,Tea,2026-04-12 09:02,Online,Card,3,39.08,North,26,4,156.32,EMP026
ORD00104,Latte,2026-02-01 20:29,Takeaway,Cash,1,7.52,South,17,3,22.56,EMP014
ORD00046,Rice Bowl,2026-01-11 15:39,Online,Cash,2,22.72,West,19,1,22.72,EMP022
ORD00287,Sandwich,2026-06-13 19:45,Dine-In,Card,5,16.96,West,18,4,67.84,EMP008
ORD00077,Coffee,2026-04-25 19:12,Dine-In,E-Wallet,3,31.14,East,30,5,155.7,EMP020
ORD00215,Tea,2026-04-29 14:24,Online,E-Wallet,2,26.41,Central,3,2,52.82,EMP016
ORD00339,Rice Bowl,2026-01-09 12:50,Online,Cash,3,33.11,Central,14,4,132.44,EMP017
ORD00116,Salad,2026-04-13 10:50,Online,Card,3,8.75,North,40,2,17.5,EMP027
ORD00007,Cake,2026-04-10 17:33,Online,Cash,3,15.85,East,39,1,15.85,EMP011
ORD00347,Salad,2026-04-19 08:51,Takeaway,Card,3,39.75,South,33,5,198.75,EMP029
ORD00088,Pasta,2026-06-28 18:14,Dine-In,Cash,3,25.23,Central,41,4,100.92,EMP001
ORD00300,Tea,2026-06-19 14:48,Dine-In,Cash,3,29.29,West,15,5,146.45,EMP008
ORD00042,Fries,2026-02-13 10:46,Online,E-Wallet,1,34.51,East,10,4,138.04,EMP015
ORD00231,Tea,2026-06-19 10:11,Takeaway,Card,2,7.17,West,15,3,21.51,EMP013
ORD00158,Coffee,2026-06-01 13:42,Pickup,Cash,1,39.29,East,12,5,196.45,EMP029
ORD00132,Latte,2026-06-13 14:07,Takeaway,Card,5,32.88,West,20,2,65.76,EMP024
ORD00184,Cake,2026-02-10 08:15,Dine-In,E-Wallet,2,39.7,West,39,2,79.4,EMP019
ORD00300,Salad,15/03/2026 09:30,Dine-In,Card,5,28.48,North,38,4,113.92,EMP015
ORD00072,Tea,2026-01-02 10:39,Dine-In,Card,3,6.44,West,35,3,19.32,EMP011
ORD00087,Fries,2026-01-04 10:49,Online,Card,4,12.41,East,28,2,24.82,EMP030
ORD00169,Cake,2026-04-01 10:34,Dine-In,E-Wallet,3,36.82,South,5,1,36.82,EMP022
ORD00029,Coffee,2026-02-11 20:05,Dine-In,Cash,1,23.87,North,28,5,119.35,EMP022
ORD00272,Rice Bowl,2026-01-04 09:49,Online,Card,1,33.27,Central,25,3,99.81,EMP010
ORD00227,Coffee,2026-04-10 22:59,Takeaway,Cash,2,30.07,North,28,4,120.28,EMP020
ORD00283,Smoothie,2026-06-28 13:46,Dine-In,Cash,4,29.1,South,18,1,29.1,EMP030
ORD00250,Latte,2026-05-09 17:08,Dine-In,E-Wallet,3,34.02,South,5,5,170.1,EMP029
ORD00118,Rice Bowl,2026-03-12 08:32,Dine-In,E-Wallet,3,28.69,North,24,1,28.69,EMP010
ORD00113,Wrap,2026-06-02 19:05,Dine-In,Cash,4,37.52,North,22,4,150.08,EMP026
ORD00219,Smoothie,2026-05-04 16:37,Online,Cash,2,14.61,East,29,2,29.22,EMP021
ORD00096,Wrap,2026-04-24 20:25,Takeaway,Cash,5,16.11,East,18,4,64.44,EMP023
ORD00246,Burger,2026-05-06 19:15,Dine-In,E-Wallet,5,37.89,West,40,4,151.56,EMP021
ORD00081,Sandwich,2026-05-28 08:58,Dine-In,Cash,3,34.17,South,7,5,170.85,EMP008
ORD00172,Latte,2026-06-07 11:18,Dine-In,Card,4,34.29,East,32,2,68.58,EMP001
ORD00288,Pasta,2026-01-24 16:23,Dine-In,E-Wallet,5,7.08,West,14,3,21.24,EMP016
ORD00256,Latte,2026-06-10 09:19,Online,Card,1,19.24,East,13,5,96.2,EMP010
ORD00324,Smoothie,2026-01-11 11:07,Takeaway,E-Wallet,4,38.52,East,43,2,77.04,EMP014
ORD00174,Rice Bowl,2026-03-05 22:55,Dine-In,Cash,3,36.22,West,8,3,108.66,EMP028
ORD00142,Salad,2026-01-05 08:53,Online,Cash,4,14.31,North,25,4,57.24,EMP005
ORD00234,Wrap,2026-02-23 18:48,Online,Card,1,21.8,Central,33,3,65.4,EMP003
ORD00033,Cake,2026-03-07 21:48,Takeaway,E-Wallet,2,29.13,East,44,5,145.65,EMP016
ORD00008,Smoothie,2026-02-25 19:51,Takeaway,Card,3,4.7,East,37,5,23.5,EMP005
ORD00224,Pizza,2026-05-25 08:18,Dine-In,E-Wallet,4,19.45,South,35,1,19.45,EMP027
ORD00005,Burger,2026-04-18 14:26,Online,Card,3,11.54,West,45,5,57.7,EMP003
ORD00302,Latte,2026-04-28 10:51,Takeaway,Cash,3,4.76,North,34,5,23.8,EMP025
ORD00149,Wrap,2026-06-02 15:36,Pickup,Card,2,34.12,South,5,4,136.48,EMP008
ORD00033,Pizza,2026-04-04 13:39,Takeaway,Card,3,31.38,West,18,3,94.14,EMP011
ORD00127,Noodles,2026-01-01 22:14,Online,Cash,2,39.91,West,14,2,79.82,EMP016
ORD00313,Pizza,2026-05-04 21:09,Online,Cash,,26.71,North,18,1,26.71,EMP025
ORD00144,Tea,2026-05-14 14:29,Takeaway,Cash,2,4.77,North,4,2,9.54,EMP016
ORD00274,Tea,2026-03-25 12:51,Pickup,Cash,3,4.06,Central,9,4,16.24,EMP024
ORD00324,Wrap,2026-05-11 19:28,Online,Card,5,9.41,East,17,3,28.23,EMP019
ORD00094,Pasta,2026-03-23 16:46,Takeaway,E-Wallet,2,3.46,North,23,1,3.46,EMP028
ORD00311,Salad,15/03/2026 09:30,Takeaway,Card,5,39.57,West,27,1,39.57,EMP030
ORD00115,Cake,2026-04-23 20:43,Dine-In,Card,2,13.92,East,17,4,55.68,EMP027
ORD00205,Salad,2026-05-19 21:00,Online,Cash,3,5.4,East,9,3,16.2,EMP030
ORD00287,Noodles,2026-03-20 17:29,Dine-In,Cash,4,23.01,South,6,5,115.05,EMP012
ORD00270,Sandwich,2026-06-14 18:03,Dine-In,E-Wallet,3,26.96,East,29,1,26.96,EMP003
ORD00213,Tea,2026-05-04 14:50,Takeaway,Cash,3,7.01,North,7,4,28.04,EMP012
ORD00065,Tea,2026-06-08 18:04,Dine-In,Cash,3,21.38,North,8,4,85.52,EMP027
ORD00202,Burger,2026-04-09 22:34,Takeaway,Card,1,18.43,West,41,5,92.15,EMP010
ORD00190,Pizza,2026-05-04 20:16,Takeaway,E-Wallet,2,31.13,West,16,3,93.39,EMP005
ORD00038,Fries,2026-05-26 08:55,Takeaway,E-Wallet,3,8.22,South,19,4,32.88,EMP012
ORD00269,Pasta,2026-03-11 08:01,Takeaway,Card,4,18.7,West,6,4,74.8,EMP002
ORD00070,Wrap,2026-01-22 08:48,Takeaway,E-Wallet,3,8.93,South,34,3,26.79,EMP025
ORD00137,Burger,2026-02-10 17:32,Online,Cash,5,25.01,West,16,5,125.05,EMP008
ORD00007,Coffee,2026-04-05 21:28,Takeaway,Cash,3,9.35,East,18,1,9.35,EMP017
ORD00097,Salad,2026-06-13 20:30,Takeaway,Card,5,38.93,South,26,3,116.79,EMP013
ORD00189,Tea,2026-05-11 14:37,Dine-In,Card,5,34.52,West,7,1,34.52,EMP019
ORD00320,Coffee,2026-01-23 17:53,Takeaway,Cash,4,9.12,North,10,5,45.6,EMP022
ORD00169,Tea,2026-05-15 13:04,Online,Card,1,21.03,Central,15,2,42.06,EMP025
ORD00195,Tea,2026-06-25 16:17,Dine-In,E-Wallet,5,18.24,Central,40,1,18.24,EMP009
ORD00184,Coffee,2026-05-14 20:34,Takeaway,Cash,5,38.4,Central,38,5,192.0,EMP018
ORD00104,Noodles,2026-02-16 09:12,Takeaway,E-Wallet,,8.56,Central,45,2,17.12,EMP013
ORD00308,Burger,2026-03-04 15:40,Online,Card,5,33.73,South,19,2,67.46,EMP006
ORD00292,Noodles,2026-06-30 12:12,Dine-In,E-Wallet,3,8.33,West,25,2,16.66,EMP028
ORD00221,Wrap,2026-02-21 12:12,Takeaway,E-Wallet,5,9.83,West,32,5,49.15,EMP026
ORD00018,Noodles,2026-03-04 14:36,Takeaway,Cash,1,25.85,West,12,4,103.4,EMP016
ORD00287,Burger,2026-03-10 15:37,Dine-In,Cash,4,39.17,North,27,2,78.34,EMP017
ORD00143,Smoothie,2026-06-12 11:55,Online,Cash,5,27.77,East,29,2,55.54,EMP009
ORD00049,Salad,2026-02-21 08:42,Dine-In,E-Wallet,1,20.82,North,35,2,41.64,EMP014
ORD00194,Cake,2026-03-10 10:09,Takeaway,Cash,5,23.04,West,42,1,23.04,EMP016
ORD00150,Salad,2026-02-01 14:19,Takeaway,Cash,4,39.76,West,19,1,39.76,EMP010
ORD00039,Pasta,2026-04-22 18:36,Takeaway,E-Wallet,5,38.25,North,37,4,153.0,EMP010
ORD00228,Cake,2026-05-20 17:07,Dine-In,Card,4,35.53,West,20,1,35.53,EMP024
ORD00168,Coffee,2026-04-20 12:39,Online,Card,4,22.59,Central,8,4,90.36,EMP012
ORD00263,Pasta,2026-01-16 20:12,Dine-In,Card,4,28.45,Central,3,1,28.45,EMP002
ORD00119,Rice Bowl,2026-04-12 21:36,Takeaway,Cash,2,37.4,West,23,3,112.2,EMP018
ORD00153,Sandwich,2026-02-16 08:05,Dine-In,E-Wallet,4,19.77,East,9,4,79.08,EMP004
